route_id,start_location,end_location,total_distance_km,estimated_travel_time_hr,season,day_type,transport_mode,destination_type,popularity_score,traffic_density,entry_fee,accommodation_cost,food_cost,user_budget,user_time_constraint_hr,preferred_transport_mode,preferred_destination,satisfaction_rating
1000,Bangalore,Goa,484.3,6.57,Summer,Weekend,Bus,Beach,0.7,0.6,165,3177,1040,7796,18.8,Bus,Wildlife Park,3.39
1001,Chennai,Agra,537.6,8.95,Summer,Weekend,Walk,Wildlife Park,0.36,0.36,19,3988,775,1093,23.0,Walk,Hill Station,4.68
1002,Mumbai,Goa,454.1,11.73,Spring,Weekday,Bus,Museum,0.61,0.19,118,781,1144,5023,8.0,Car,Museum,1.89
1003,Mumbai,Goa,309.2,7.66,Summer,Weekend,Bike,Museum,0.21,0.49,258,1508,932,5796,11.6,Walk,Hill Station,2.2
1004,Kolkata,Goa,221.8,7.7,Monsoon,Weekend,Train,Hill Station,0.61,0.1,92,1675,487,1453,13.8,Train,Museum,4.2
1005,Mumbai,Goa,599.7,5.53,Summer,Weekend,Walk,Beach,0.56,0.6,186,4343,901,6081,20.8,Walk,Wildlife Park,2.19
1006,Chennai,Goa,591.3,7.08,Monsoon,Weekend,Bus,Beach,0.32,0.69,211,4715,224,6837,11.8,Bus,Hill Station,1.08
1007,Kolkata,Mahabalipuram,91.3,9.95,Summer,Weekday,Bike,Wildlife Park,0.8,0.23,107,672,958,5264,7.5,Car,Beach,2.72
1008,Mumbai,Goa,426.8,6.25,Monsoon,Weekday,Train,Temple,0.61,0.15,102,4323,207,7377,18.2,Train,Museum,4.04
1009,Kolkata,Mahabalipuram,357.6,10.83,Monsoon,Weekend,Car,Wildlife Park,0.67,0.5,211,2651,661,4031,11.3,Bike,Temple,1.46
1010,Bangalore,Goa,517.3,8.72,Monsoon,Weekend,Car,Museum,0.89,0.89,288,2240,438,2915,5.3,Car,Wildlife Park,3.26
1011,Kolkata,Shimla,598.7,11.24,Spring,Weekend,Bike,Museum,0.21,0.89,12,2048,1279,8253,8.8,Bike,Wildlife Park,2.2
1012,Kolkata,Mahabalipuram,564.2,7.39,Spring,Weekday,Bus,Museum,0.59,0.88,291,5000,1114,5577,23.0,Bus,Museum,2.45
1013,Kolkata,Mahabalipuram,365.6,5.22,Summer,Weekend,Bike,Museum,0.64,0.81,149,4164,829,4930,3.4,Walk,Wildlife Park,1.8
1014,Delhi,Shimla,171.0,10.88,Spring,Weekend,Bus,Wildlife Park,0.26,0.57,280,3580,349,3734,19.3,Car,Hill Station,4.02
1015,Delhi,Goa,436.7,9.47,Winter,Weekday,Bus,Museum,0.9,0.57,220,2744,502,4739,12.7,Train,Wildlife Park,1.41
1016,Chennai,Shimla,68.9,8.78,Winter,Weekday,Bike,Wildlife Park,0.72,0.13,270,2771,374,5888,17.9,Bus,Wildlife Park,4.61
1017,Delhi,Mahabalipuram,492.4,6.48,Winter,Weekday,Bike,Wildlife Park,0.9,0.82,231,3429,1479,7493,11.0,Car,Temple,1.47
1018,Chennai,Agra,370.8,5.7,Spring,Weekday,Train,Temple,0.8,0.25,223,2909,1389,9537,4.5,Walk,Museum,1.47
1019,Mumbai,Agra,129.6,7.79,Spring,Weekday,Train,Temple,0.66,0.92,294,2849,1267,9972,22.6,Bike,Museum,2.64
1020,Chennai,Mahabalipuram,161.9,7.31,Summer,Weekday,Walk,Museum,0.86,0.38,108,1676,512,7196,19.3,Bike,Temple,4.31
